Bank,Year,Month,Media Category,dollars
Bank of America,2024,March 2024,Outdoor,601979
Bank of America,2024,March 2024,Print,1331484
Bank of America,2024,March 2024,Television,26281601
Bank of America,2024,May 2024,Audio,3161010
Bank of America,2024,May 2024,Digital,7942085
Bank of America,2024,May 2024,Outdoor,12619
Bank of America,2024,May 2024,Print,1871688
Bank of America,2024,May 2024,Television,4791518
Bank of America,2024,November 2024,Audio,261770
Bank of America,2024,November 2024,Digital,3626023
Bank of America,2024,November 2024,Outdoor,6240
Bank of America,2024,November 2024,Print,732745
Bank of America,2024,November 2024,Television,80314
Bank of America,2024,October 2024,Audio,4898151
Bank of America,2024,October 2024,Digital,3493122
Bank of America,2024,October 2024,Outdoor,147170
Bank of America,2024,October 2024,Print,871098
Bank of America,2024,October 2024,Television,612519
Bank of America,2024,September 2024,Audio,6393992
Bank of America,2024,September 2024,Digital,6350537
Bank of America,2024,September 2024,Outdoor,202802
Bank of America,2024,September 2024,Print,2490583
Bank of America,2024,September 2024,Television,15498345
Bank of America,2025,February 2025,Audio,39588
Bank of America,2025,February 2025,Digital,26896366
Bank of America,2025,February 2025,Outdoor,45132
Bank of America,2025,February 2025,Print,39485
Bank of America,2025,February 2025,Television,2102296
Bank of America,2025,January 2025,Audio,325693
Bank of America,2025,January 2025,Digital,2021959
Bank of America,2025,January 2025,Outdoor,3282
Bank of America,2025,January 2025,Print,16334
Bank of America,2025,January 2025,Television,240534
Capital One Bank,2024,April 2024,Audio,2004704
Capital One Bank,2024,April 2024,Digital,21549513
Capital One Bank,2024,April 2024,Outdoor,258241
Capital One Bank,2024,April 2024,Print,833177
Capital One Bank,2024,April 2024,Television,25095356
Capital One Bank,2024,August 2024,Audio,2542335
Capital One Bank,2024,August 2024,Digital,20648588
Capital One Bank,2024,August 2024,Outdoor,411035
Capital One Bank,2024,August 2024,Print,1220978
Capital One Bank,2024,August 2024,Television,10509473
Capital One Bank,2024,December 2024,Audio,4104525
Capital One Bank,2024,December 2024,Cinema,1167019
Capital One Bank,2024,December 2024,Digital,50792007
Capital One Bank,2024,December 2024,Outdoor,925261
Capital One Bank,2024,December 2024,Print,1104610
Capital One Bank,2024,December 2024,Streaming,1212243
Capital One Bank,2024,December 2024,Television,75111023
Capital One Bank,2024,February 2024,Audio,3381637
Capital One Bank,2024,February 2024,Digital,19776845
Capital One Bank,2024,February 2024,Outdoor,351716
Capital One Bank,2024,February 2024,Print,636150
Capital One Bank,2024,February 2024,Television,9228927
Capital One Bank,2024,January 2024,Audio,4363076
Capital One Bank,2024,January 2024,Digital,17072635
Capital One Bank,2024,January 2024,Outdoor,321560
Capital One Bank,2024,January 2024,Print,601653
Capital One Bank,2024,January 2024,Television,23667296
Capital One Bank,2024,July 2024,Audio,2268196
Capital One Bank,2024,July 2024,Digital,21194980
Capital One Bank,2024,July 2024,Outdoor,273070
Capital One Bank,2024,July 2024,Print,1520911
Capital One Bank,2024,July 2024,Television,12542423
Capital One Bank,2024,June 2024,Audio,2517674
Capital One Bank,2024,June 2024,Digital,20183555
Capital One Bank,2024,June 2024,Outdoor,325741
Capital One Bank,2024,June 2024,Print,853660
Capital One Bank,2024,June 2024,Television,15541042
Capital One Bank,2024,March 2024,Audio,1999816
Capital One Bank,2024,March 2024,Digital,24510627
Capital One Bank,2024,March 2024,Outdoor,283046
Capital One Bank,2024,March 2024,Print,1112636
Capital One Bank,2024,March 2024,Television,71512162
Capital One Bank,2024,May 2024,Audio,2044052
Capital One Bank,2024,May 2024,Digital,20502537
Capital One Bank,2024,May 2024,Outdoor,373549
Capital One Bank,2024,May 2024,Print,2042460
Capital One Bank,2024,May 2024,Television,14285047
Capital One Bank,2024,November 2024,Audio,3322109
Capital One Bank,2024,November 2024,Cinema,522893
Capital One Bank,2024,November 2024,Digital,24706686
Capital One Bank,2024,November 2024,Outdoor,557709
Capital One Bank,2024,November 2024,Print,916118
Capital One Bank,2024,November 2024,Streaming,144426
Capital One Bank,2024,November 2024,Television,36255250
Capital One Bank,2024,October 2024,Audio,2457549
Capital One Bank,2024,October 2024,Digital,14152079
Capital One Bank,2024,October 2024,Outdoor,526203
Capital One Bank,2024,October 2024,Print,1186363
Capital One Bank,2024,October 2024,Streaming,708993
Capital One Bank,2024,October 2024,Television,38387993
Capital One Bank,2024,September 2024,Audio,2068512
Capital One Bank,2024,September 2024,Digital,23793910
Capital One Bank,2024,September 2024,Outdoor,564106
Capital One Bank,2024,September 2024,Print,2332999
Capital One Bank,2024,September 2024,Streaming,422680
Capital One Bank,2024,September 2024,Television,29392869
Capital One Bank,2025,February 2025,Audio,585023
Capital One Bank,2025,February 2025,Digital,33648910
Capital One Bank,2025,February 2025,Outdoor,318739
Capital One Bank,2025,February 2025,Print,1049412
Capital One Bank,2025,February 2025,Television,12796916
Capital One Bank,2025,January 2025,Audio,1960064
Capital One Bank,2025,January 2025,Digital,33614077
Capital One Bank,2025,January 2025,Outdoor,556692
Capital One Bank,2025,January 2025,Print,367799
Capital One Bank,2025,January 2025,Television,48898988
Chase Bank,2024,April 2024,Audio,2241188
Chase Bank,2024,April 2024,Digital,15589472
Chase Bank,2024,April 2024,Outdoor,130657
Chase Bank,2024,April 2024,Television,3576810
Chase Bank,2024,August 2024,Audio,3645953
Chase Bank,2024,August 2024,Digital,27792327
Chase Bank,2024,August 2024,Outdoor,13062
Chase Bank,2024,August 2024,Television,13511392
Chase Bank,2024,December 2024,Audio,1813816
Chase Bank,2024,December 2024,Digital,20558145
Chase Bank,2024,December 2024,Outdoor,217740
Chase Bank,2024,December 2024,Television,8852822
Chase Bank,2024,February 2024,Audio,2061014
Chase Bank,2024,February 2024,Digital,11308093
Chase Bank,2024,February 2024,Outdoor,122864
Chase Bank,2024,February 2024,Television,10227174
Chase Bank,2024,January 2024,Audio,1268130
Chase Bank,2024,January 2024,Digital,18912222
Chase Bank,2024,January 2024,Outdoor,134145
Chase Bank,2024,January 2024,Television,3255729
Chase Bank,2024,July 2024,Audio,2368517
Chase Bank,2024,July 2024,Cinema,1920
Chase Bank,2024,July 2024,Digital,12723257
Chase Bank,2024,July 2024,Outdoor,6675
Chase Bank,2024,July 2024,Television,5196504
Chase Bank,2024,June 2024,Audio,3434378
Chase Bank,2024,June 2024,Digital,18993456
Chase Bank,2024,June 2024,Outdoor,76958
Chase Bank,2024,June 2024,Television,8224158
Chase Bank,2024,March 2024,Audio,3501697
Chase Bank,2024,March 2024,Cinema,3550
Chase Bank,2024,March 2024,Digital,14909865
Chase Bank,2024,March 2024,Outdoor,131249
Chase Bank,2024,March 2024,Television,13133863
Chase Bank,2024,May 2024,Audio,2133440
Chase Bank,2024,May 2024,Digital,16643472
Chase Bank,2024,May 2024,Outdoor,134887
Chase Bank,2024,May 2024,Television,6402282
Chase Bank,2024,November 2024,Audio,2868543
Chase Bank,2024,November 2024,Digital,18303127
Chase Bank,2024,November 2024,Outdoor,70548
Chase Bank,2024,November 2024,Television,10304775
Chase Bank,2024,October 2024,Audio,3437785
Chase Bank,2024,October 2024,Digital,21861924
Chase Bank,2024,October 2024,Outdoor,1307
Chase Bank,2024,October 2024,Television,8411849
Chase Bank,2024,September 2024,Audio,5555568
Chase Bank,2024,September 2024,Digital,32635460
Chase Bank,2024,September 2024,Outdoor,5885
Chase Bank,2024,September 2024,Television,20917898
Chase Bank,2025,February 2025,Audio,555144
Chase Bank,2025,February 2025,Digital,6044555
Chase Bank,2025,February 2025,Outdoor,359693
Chase Bank,2025,February 2025,Television,13762691
Chase Bank,2025,January 2025,Audio,560032
Chase Bank,2025,January 2025,Digital,4400880
Chase Bank,2025,January 2025,Outdoor,351770
Chase Bank,2025,January 2025,Television,3626137
PNC Bank,2024,April 2024,Audio,50355
PNC Bank,2024,April 2024,Digital,159705
PNC Bank,2024,April 2024,Outdoor,5625
PNC Bank,2024,April 2024,Print,3410
PNC Bank,2024,April 2024,Television,8286584
PNC Bank,2024,August 2024,Audio,61587
PNC Bank,2024,August 2024,Digital,145124
PNC Bank,2024,August 2024,Outdoor,5965
PNC Bank,2024,August 2024,Television,2716536
PNC Bank,2024,December 2024,Audio,215582
PNC Bank,2024,December 2024,Digital,609934
PNC Bank,2024,December 2024,Outdoor,312632
PNC Bank,2024,December 2024,Television,3956224
PNC Bank,2024,February 2024,Audio,62244
PNC Bank,2024,February 2024,Digital,110943
PNC Bank,2024,February 2024,Outdoor,5625
PNC Bank,2024,February 2024,Print,6530
PNC Bank,2024,February 2024,Television,4093
PNC Bank,2024,January 2024,Audio,85918
PNC Bank,2024,January 2024,Digital,61759
PNC Bank,2024,January 2024,Outdoor,5625
PNC Bank,2024,January 2024,Television,19593
PNC Bank,2024,July 2024,Audio,44182
PNC Bank,2024,July 2024,Digital,195611
PNC Bank,2024,July 2024,Outdoor,5965
PNC Bank,2024,July 2024,Television,1254130
PNC Bank,2024,June 2024,Audio,63267
PNC Bank,2024,June 2024,Digital,337277
PNC Bank,2024,June 2024,Outdoor,5625
PNC Bank,2024,June 2024,Television,4066956
PNC Bank,2024,March 2024,Audio,53982
PNC Bank,2024,March 2024,Digital,334138
PNC Bank,2024,March 2024,Outdoor,5625
PNC Bank,2024,March 2024,Print,419587
PNC Bank,2024,March 2024,Television,6105440
PNC Bank,2024,May 2024,Audio,61956
PNC Bank,2024,May 2024,Digital,89516
PNC Bank,2024,May 2024,Outdoor,5625
